,MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
0,75.4,2.19,0.0,40,2,3,2.75,10
1,73.68,7.55,25.0,190,2,18,4.25,6
2,75.4,11.58,37.5,130,2,1,0.75,15
3,72.57,7.89,25.0,170,2,17,4.25,13
4,100.0,0.0,37.5,180,0,17,6.75,14
5,75.7,6.93,0.0,200,2,19,4.25,1
6,76.69,6.43,0.0,130,2,3,2.5,17
7,69.08,8.99,25.0,30,1,6,9.25,10
8,100.0,0.0,37.5,190,0,8,8.25,2
9,74.66,7.25,25.0,90,2,8,5.5,4
10,72.42,7.94,25.0,80,2,13,6.0,17
11,74.78,7.21,25.0,10,1,1,5.5,9
12,72.65,7.87,25.0,190,2,9,3.5,5
13,78.84,2.55,12.5,40,2,1,0.25,19
14,72.99,7.76,25.0,120,1,5,6.5,10
15,71.15,8.33,25.0,150,1,2,6.25,9
16,74.57,7.27,25.0,180,1,19,0.5,6
17,76.78,6.6,0.0,190,2,10,3.75,2
18,75.77,8.91,0.0,160,2,1,4.5,8
19,74.22,7.38,25.0,180,1,10,1.25,10
20,100.0,0.0,37.5,40,0,5,9.5,16
21,75.9,6.87,0.0,190,1,1,2.75,14
22,74.21,7.39,25.0,200,2,9,5.0,5
23,72.67,7.86,25.0,140,1,5,6.0,3
24,72.15,8.02,25.0,60,2,20,6.0,3
25,74.52,7.29,25.0,100,1,6,3.5,2
26,100.0,0.0,37.5,110,0,12,3.5,11
27,73.65,7.56,25.0,60,2,17,1.5,18
28,100.0,0.0,37.5,120,0,2,2.5,11
29,99.75,0.07,0.0,170,0,13,8.0,18
30,73.9,7.48,25.0,30,2,11,6.75,1
31,70.39,8.57,25.0,10,2,1,6.75,5
32,72.95,7.77,25.0,150,2,12,1.5,1
33,72.48,7.92,25.0,20,2,16,2.25,3
34,76.75,6.61,0.0,50,2,4,4.5,7
35,73.01,7.75,25.0,150,2,14,5.5,18
36,74.9,7.83,25.0,120,2,1,4.75,3
37,99.7,0.08,0.0,140,0,8,6.25,14
38,72.94,7.78,25.0,80,2,16,9.25,20
39,99.74,0.07,0.0,160,0,1,7.0,9
40,100.0,0.0,37.5,50,0,9,2.0,5
41,100.0,0.0,37.5,110,0,4,2.5,18
42,69.74,8.78,25.0,70,1,16,4.5,14
43,73.99,7.45,25.0,180,1,12,1.25,11
44,100.0,0.0,37.5,10,0,5,8.5,19
45,75.73,6.92,0.0,30,2,20,3.75,19
46,77.7,6.32,0.0,100,2,6,3.75,1
47,100.0,0.0,37.5,100,0,13,3.25,13
48,75.0,7.14,0.0,100,1,16,4.75,11
49,82.13,5.0,0.0,20,2,16,7.0,10
50,73.51,7.6,25.0,180,1,18,8.75,3
51,72.31,7.97,25.0,120,1,18,2.75,2
52,74.91,7.17,25.0,170,1,14,10.0,2
53,100.0,0.0,37.5,60,0,17,9.0,5
54,77.85,6.28,0.0,10,1,11,3.75,2
55,100.0,0.0,37.5,140,0,17,1.75,13
56,100.0,0.0,37.5,70,0,18,4.0,7
57,76.46,6.7,0.0,90,1,10,2.0,7
58,73.03,9.6,25.0,120,2,3,2.0,1
59,73.36,7.65,25.0,140,2,15,0.25,15
60,72.76,7.83,25.0,170,1,18,3.0,1
61,100.0,0.0,37.5,200,0,18,0.5,15
62,75.25,7.07,0.0,190,1,4,6.5,17
63,73.25,7.68,25.0,100,2,18,7.5,19
64,79.66,5.74,0.0,40,1,12,3.0,13
65,100.0,0.0,37.5,90,0,12,5.0,15
66,100.0,0.0,37.5,10,0,11,5.25,7
67,100.0,0.0,37.5,70,0,7,5.25,2
68,73.32,7.66,25.0,30,2,4,6.75,7
69,80.04,5.62,0.0,30,2,3,5.25,5
70,72.2,8.01,25.0,90,1,16,8.0,10
71,100.0,0.0,37.5,150,0,7,4.25,12
72,100.0,0.0,37.5,140,0,18,4.75,14
73,73.46,7.61,25.0,160,2,5,8.0,5
74,70.23,8.62,25.0,40,2,19,3.5,15
75,100.0,0.0,37.5,120,0,4,7.25,3
76,70.13,8.65,25.0,100,1,20,3.0,6
77,100.0,0.0,37.5,130,0,17,8.0,14
78,99.74,0.07,0.0,160,0,4,2.5,5
79,73.89,7.48,25.0,160,2,13,2.75,15
80,76.45,6.7,0.0,100,1,3,4.5,11
81,74.95,7.16,25.0,200,2,12,0.75,16
82,73.88,7.49,25.0,180,2,13,1.0,12
83,76.75,6.61,0.0,30,2,9,9.75,6
84,72.86,7.8,25.0,40,1,6,2.5,16
85,73.43,7.62,25.0,140,2,6,7.0,3
86,73.76,7.52,25.0,60,1,2,6.0,12
87,100.0,0.0,37.5,80,0,3,8.5,12
88,74.78,7.21,25.0,160,2,18,5.75,10
89,100.0,0.0,37.5,120,0,19,2.5,17
90,100.0,0.0,37.5,180,0,10,1.5,9
91,75.35,5.85,0.0,140,2,6,1.25,5
92,73.0,7.76,25.0,150,2,13,6.25,5
93,100.0,0.0,37.5,110,0,12,4.75,17
94,99.68,0.09,0.0,130,0,9,9.75,8
95,72.2,8.01,25.0,190,1,11,7.25,4
96,100.0,0.0,37.5,40,0,7,6.25,2
97,100.0,0.0,37.5,30,0,20,4.5,20
98,100.0,0.0,37.5,30,0,13,9.5,13
99,71.82,8.13,25.0,80,1,20,6.25,5
100,99.62,0.1,0.0,110,0,10,4.5,15
101,78.07,6.21,0.0,20,1,13,0.0,2
102,76.32,6.74,0.0,40,2,5,4.75,19
103,100.0,0.0,37.5,20,0,5,3.0,9
104,75.31,7.05,0.0,100,2,16,7.25,6
105,73.0,8.96,25.0,80,2,2,4.5,15
106,81.14,5.3,0.0,10,2,14,1.25,18
107,64.18,33.03,37.5,50,2,1,2.0,14
108,74.78,7.21,25.0,60,2,16,0.0,20
109,73.29,7.67,25.0,150,1,20,1.75,5
110,72.93,7.78,25.0,110,2,9,1.5,4
111,62.28,11.18,25.0,20,2,9,8.25,18
112,100.0,0.0,37.5,10,0,5,7.5,18
113,75.46,7.0,0.0,170,2,20,9.25,13
114,99.62,0.1,0.0,110,0,11,5.25,20
115,73.23,7.69,25.0,130,1,15,9.25,11
116,69.69,8.79,25.0,50,1,2,9.75,5
117,75.88,6.88,0.0,10,2,10,6.75,2
118,67.44,6.97,25.0,30,2,3,1.25,8
119,71.45,8.24,25.0,170,2,13,0.0,7
120,72.82,7.81,25.0,170,1,8,3.5,15
121,73.87,7.49,25.0,150,1,12,7.75,9
122,100.0,0.0,37.5,150,0,4,1.25,2
123,100.0,0.0,37.5,90,0,18,5.5,5
124,73.86,7.49,25.0,140,1,2,8.75,17
125,99.17,0.22,0.0,50,0,15,0.0,11
126,74.76,7.22,25.0,110,1,2,8.75,18
127,73.6,7.57,25.0,160,1,12,8.5,3
128,76.73,7.73,0.0,80,2,4,2.5,13
129,100.0,0.0,37.5,120,0,12,7.5,13
130,73.4,7.64,25.0,130,1,15,9.0,15
131,100.0,0.0,37.5,30,0,10,4.75,8
132,72.2,8.01,25.0,90,1,10,7.75,15
