,MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
0,121.5,-13.07,0.0,40,2,3,2.75,10
1,119.61,-12.35,0.0,190,2,18,4.25,6
2,118.51,-11.9,0.0,130,2,1,0.75,15
3,120.71,-12.77,0.0,170,2,17,4.25,13
4,100.56,-0.55,0.0,180,0,17,6.75,14
5,119.4,-12.26,0.0,200,2,19,4.25,1
6,118.41,-11.86,0.0,130,2,3,2.5,17
7,121.56,-13.09,0.0,30,1,6,9.25,10
8,100.53,-0.52,0.0,190,0,8,8.25,2
9,120.37,-12.64,0.0,90,2,8,5.5,4
10,119.5,-12.3,0.0,80,2,13,6.0,17
11,118.67,-11.97,0.0,10,1,1,5.5,9
12,118.91,-12.07,0.0,190,2,9,3.5,5
13,119.5,-12.3,0.0,40,2,1,0.25,19
14,120.67,-12.76,0.0,120,1,5,6.5,10
15,119.51,-12.31,0.0,150,1,2,6.25,9
16,119.22,-12.19,0.0,180,1,19,0.5,6
17,119.89,-12.46,0.0,190,2,10,3.75,2
18,119.58,-12.34,0.0,160,2,1,4.5,8
19,119.52,-12.31,0.0,180,1,10,1.25,10
20,0.0,0.0,83.33333333,40,0,5,9.5,16
21,118.56,-11.92,0.0,190,1,1,2.75,14
22,119.9,-12.46,0.0,200,2,9,5.0,5
23,120.62,-12.74,0.0,140,1,5,6.0,3
24,121.22,-12.97,0.0,60,2,20,6.0,3
25,117.27,-11.37,0.0,100,1,6,3.5,2
26,0.0,0.0,83.33333333,110,0,12,3.5,11
27,119.0,-12.1,0.0,60,2,17,1.5,18
28,101.67,-1.59,0.0,120,0,2,2.5,11
29,100.59,-0.58,0.0,170,0,13,8.0,18
30,117.33,-11.4,0.0,30,2,11,6.75,1
31,115.33,-10.5,0.0,10,2,1,6.75,5
32,120.44,-12.67,0.0,150,2,12,1.5,1
33,119.33,-12.24,0.0,20,2,16,2.25,3
34,120.0,-12.5,0.0,50,2,4,4.5,7
35,120.8,-12.81,0.0,150,2,14,5.5,18
36,119.17,-12.17,0.0,120,2,1,4.75,3
37,100.71,-0.7,0.0,140,0,8,6.25,14
38,121.42,-13.04,0.0,80,2,16,9.25,20
39,100.63,-0.61,0.0,160,0,1,7.0,9
40,0.0,0.0,83.33333333,50,0,9,2.0,5
41,100.91,-0.88,0.0,110,0,4,2.5,18
42,119.62,-12.35,0.0,70,1,16,4.5,14
43,120.56,-12.71,0.0,180,1,12,1.25,11
44,0.0,0.0,83.33333333,10,0,5,8.5,19
45,119.56,-12.32,0.0,30,2,20,3.75,19
46,120.87,-12.83,0.0,100,2,6,3.75,1
47,0.0,0.0,83.33333333,100,0,13,3.25,13
48,119.8,-12.42,0.0,100,1,16,4.75,11
49,117.0,-11.26,0.0,20,2,16,7.0,10
50,119.52,-12.31,0.0,180,1,18,8.75,3
51,121.61,-13.11,0.0,120,1,18,2.75,2
52,120.16,-12.56,0.0,170,1,14,10.0,2
53,0.0,0.0,83.33333333,60,0,17,9.0,5
54,127.33,-15.02,0.0,10,1,11,3.75,2
55,0.0,0.0,83.33333333,140,0,17,1.75,13
56,0.0,0.0,83.33333333,70,0,18,4.0,7
57,120.15,-12.56,0.0,90,1,10,2.0,7
58,120.22,-12.59,0.0,120,2,3,2.0,1
59,119.48,-12.29,0.0,140,2,15,0.25,15
60,119.73,-12.39,0.0,170,1,18,3.0,1
61,0.0,0.0,83.33333333,200,0,18,0.5,15
62,119.82,-12.43,0.0,190,1,4,6.5,17
63,119.53,-12.32,0.0,100,2,18,7.5,19
64,119.33,-12.24,0.0,40,1,12,3.0,13
65,102.22,-2.08,0.0,90,0,12,5.0,15
66,0.0,0.0,83.33333333,10,0,11,5.25,7
67,0.0,0.0,83.33333333,70,0,7,5.25,2
68,118.0,-11.69,0.0,30,2,4,6.75,7
69,120.67,-12.76,0.0,30,2,3,5.25,5
70,120.0,-12.5,0.0,90,1,16,8.0,10
71,0.0,0.0,83.33333333,150,0,7,4.25,12
72,0.0,0.0,83.33333333,140,0,18,4.75,14
73,118.62,-11.95,0.0,160,2,5,8.0,5
74,119.5,-12.3,0.0,40,2,19,3.5,15
75,0.0,0.0,83.33333333,120,0,4,7.25,3
76,121.2,-12.96,0.0,100,1,20,3.0,6
77,0.0,0.0,83.33333333,130,0,17,8.0,14
78,0.0,0.0,83.33333333,160,0,4,2.5,5
79,120.58,-12.73,0.0,160,2,13,2.75,15
80,120.47,-12.68,0.0,100,1,3,4.5,11
81,119.93,-12.47,0.0,200,2,12,0.75,16
82,120.74,-12.79,0.0,180,2,13,1.0,12
83,119.56,-12.32,0.0,30,2,9,9.75,6
84,119.83,-12.43,0.0,40,1,6,2.5,16
85,119.76,-12.41,0.0,140,2,6,7.0,3
86,119.89,-12.46,0.0,60,1,2,6.0,12
87,0.0,0.0,83.33333333,80,0,3,8.5,12
88,121.37,-13.02,0.0,160,2,18,5.75,10
89,0.0,0.0,83.33333333,120,0,19,2.5,17
90,0.0,0.0,83.33333333,180,0,10,1.5,9
91,119.52,-12.31,0.0,140,2,6,1.25,5
92,121.2,-12.96,0.0,150,2,13,6.25,5
93,0.0,0.0,83.33333333,110,0,12,4.75,17
94,0.0,0.0,83.33333333,130,0,9,9.75,8
95,120.7,-12.77,0.0,190,1,11,7.25,4
96,102.5,-2.33,0.0,40,0,7,6.25,2
97,0.0,0.0,83.33333333,30,0,20,4.5,20
98,0.0,0.0,83.33333333,30,0,13,9.5,13
99,120.5,-12.69,0.0,80,1,20,6.25,5
100,101.82,-1.72,0.0,110,0,10,4.5,15
101,120.33,-12.63,0.0,20,1,13,0.0,2
102,119.0,-12.1,0.0,40,2,5,4.75,19
103,0.0,0.0,83.33333333,20,0,5,3.0,9
104,120.47,-12.68,0.0,100,2,16,7.25,6
105,119.75,-12.4,0.0,80,2,2,4.5,15
106,122.0,-13.25,0.0,10,2,14,1.25,18
107,119.73,-12.4,0.0,50,2,1,2.0,14
108,120.22,-12.59,0.0,60,2,16,0.0,20
109,120.27,-12.6,0.0,150,1,20,1.75,5
110,118.85,-12.04,0.0,110,2,9,1.5,4
111,116.67,-11.11,0.0,20,2,9,8.25,18
112,0.0,0.0,83.33333333,10,0,5,7.5,18
113,120.16,-12.56,0.0,170,2,20,9.25,13
114,0.0,0.0,83.33333333,110,0,11,5.25,20
115,119.74,-12.4,0.0,130,1,15,9.25,11
116,121.2,-12.96,0.0,50,1,2,9.75,5
117,120.67,-12.76,0.0,10,2,10,6.75,2
118,121.78,-13.17,0.0,30,2,3,1.25,8
119,119.37,-12.25,0.0,170,2,13,0.0,7
120,119.29,-12.22,0.0,170,1,8,3.5,15
121,120.67,-12.76,0.0,150,1,12,7.75,9
122,0.0,0.0,83.33333333,150,0,4,1.25,2
123,0.0,0.0,83.33333333,90,0,18,5.5,5
124,119.0,-12.1,0.0,140,1,2,8.75,17
125,0.0,0.0,83.33333333,50,0,15,0.0,11
126,119.33,-12.24,0.0,110,1,2,8.75,18
127,120.75,-12.79,0.0,160,1,12,8.5,3
128,118.67,-11.97,0.0,80,2,4,2.5,13
129,100.83,-0.81,0.0,120,0,12,7.5,13
130,120.77,-12.8,0.0,130,1,15,9.0,15
131,0.0,0.0,83.33333333,30,0,10,4.75,8
132,117.7,-11.56,0.0,90,1,10,7.75,15
133,119.49,-12.3,0.0,130,2,4,6.0,16
134,118.76,-12.0,0.0,70,1,12,4.5,15
135,120.67,-12.76,0.0,20,2,13,3.75,10
136,124.22,-14.03,0.0,30,2,4,2.5,14
137,121.21,-12.96,0.0,110,2,6,1.25,11
138,120.31,-12.62,0.0,170,2,1,3.5,13
139,121.6,-13.11,0.0,150,2,10,8.5,18
140,120.22,-12.59,0.0,90,2,3,6.75,9
141,0.0,0.0,83.33333333,140,0,6,1.5,4
142,120.77,-12.8,0.0,200,1,6,9.25,2
143,119.7,-12.38,0.0,110,1,19,0.5,15
144,119.86,-12.44,0.0,140,1,15,6.0,20
145,120.56,-12.72,0.0,190,2,17,7.25,15
146,0.0,0.0,83.33333333,100,0,13,7.0,15
147,120.19,-12.57,0.0,70,1,15,4.25,3
148,0.0,0.0,83.33333333,120,0,16,4.75,19
149,0.0,0.0,83.33333333,130,0,14,9.75,10
150,120.0,-12.5,0.0,120,1,19,0.25,10
151,119.73,-12.4,0.0,150,2,10,4.5,2
152,120.72,-12.78,0.0,130,1,4,2.0,7
